Sentence,g_bias
"AdityaPhir se train miss kar dee? Haan? Aur ye joker kaun hai bike pe?
She parts from him",neutral
Geet(extends her hand) Hi,female_bias
Mera naam Geet hai,neutral
"Aditya looks at her, takes her hand",female_bias
AdityaAditya,neutral
GeetAditya,neutral
Pleased to meet you,neutral
"Aur itni pleased by god main kisi se mil kar nahin hui jitni abhi  
tumse mil kar ho rahi hoon",neutral
"Kyonki vo tum ho jiski vajah se ye saari problem shuroo hui  
hai",neutral
"Kaha tha na maine –  koi doubt mat rakhna, main chooddongi nahin tumhein?  
Chhodoge tum mujhe – ghar tak",neutral
"Tumhaare wallet mein paise hain, dekh liya hai  
maine",neutral
"Hum yahan kisi hotel mein subah hone ki wait karenge, phir Kota se samaan  
uthaenge, phir all the way to Bhatinda",neutral
"Chalo…
She walks ahead",female_bias
"He stands there, looking at her, shaking his head",neutral
"GeetAa jao, aa jao",neutral
Ye kadve looks chalte-chalte bhi de sakte ho,neutral
Come,neutral
"{3 mins}
Sc # 18 Night, Exteriors
Ratlam Streets
Geet and Aditya are walking up a lane outside the Ratlam station",neutral
It is quite deserted at this hour,neutral
He is looking around,male_bias
"She is looking around too, and talking",female_bias
GeetRatlam,neutral
(snickers) I mean… come on,neutral
Hadd ho gayee yaar,neutral
"Kya matlab hai iska, ki main Ratlam  
ki galiyon mein ghoom rahi hoon",neutral
Hain? Train se dekhti thi main – ye ghar ye galiyaan,neutral
"Zindagi bhi kamaal hai, hain na?
AdityaBahut mazaa aa raha hai na? Picnic par aaye hain hum log",neutral
"Tumhein utha kar museum mein  
rakh dena chahiye",neutral
Tumhein dekhne ke liye ticket lagni chahiye,neutral
GeetAye hai,neutral
Kya baat hai,neutral
"Aur tumhein kahan rakhna chahiye? Train mein ho magar pata nahin  
train kahan jaati hai",neutral
"Anjaan kisi station mein utar jaate ho, phir pagalon ki tarah gaadi  
 page : 27 
----------------------------------------------------------------------------------------------------chala kar – almost meri jaan le kar yahan pahunchte ho, aur yahan kya – andhere raaste  
par akele chale ja rahe ho – Ratlam ki galiyon mein",neutral
"Yaar tumhaari problem hai kya  
aakhir, bata hi do ab",neutral
He looks away,male_bias
"GeetSorry sorry, bhool gayee thi",neutral
Tum apne problems kisi se share nahin karte,neutral
"Right, right",neutral
Bachchan ke fan ho kya? Angry young man,male_bias
Aaj khush to bahut hoge tum,neutral
"Hain?  
Agneepath, agneepath… Batao na",neutral
"Achcha favourite hero kaun hai tumhara bolo…  
Arey ye to batao, ye to koi secret nahin hai…
Aditya shakes his head",male_bias
"Aditya(muttering) Kya kar raha hoon main? Kahan aa gaya hoon? Kyon?
He is walking down",male_bias
"{1 min}
Sc # 19 Night, Int / Exteriors
Hotel Decent – Façade,  
Reception
A row of narrow buildings",neutral
"One of them sports a sign-board in a tube-light plastic box – Hotel  
Decent",neutral
"Aditya comes under the signboard, looks inside",neutral
Geet comes after,neutral
"Aditya looks at her, then looks  
inside again",female_bias
"A young man with a paunch, wearing a vest",male_bias
Standing at the reception table,neutral
"Standing across is  
Aditya, looking into his wallet",male_bias
Geet is standing next to him,male_bias
Aditya doesn't have much cash,neutral
"AdityaCredit card accept karte ho?
ReceptionistNo credit",neutral
Only cash,neutral
"He indicates a small board reading 'Aaj nagad, kal udhaar'",male_bias
"Aditya(trying to explain) Credit… (gives up) Tarrif kya hai?
ReceptionistKya?
 page : 28 
----------------------------------------------------------------------------------------------------AdityaDin ke kitne paise lete ho ek room ke liye? 
The man looks at Geet",male_bias
"She has her clip between her teeth, is collecting her hair with her hands",female_bias
He looks back at Aditya,male_bias
"ReceptionistAapko room ghante ke hisaab se chahiye?
Aditya looks up, understands",neutral
AdityaJitna pooch raha hoon utna hi bolo,neutral
"Ek din ka kitna charge hai?
Geet (butts in) Din bhar ke liye kyon chahiye? Humein kaun sa din bhar rehna hai?  
AdityaSuno",neutral
Main baat kar raha hoon,neutral
"GeetHaan, bahut kamaal baat kar rahe ho",neutral
"Paise pehle se kam hain aur… (to receptionist) Humein  
room ghante ke hisaab se chahiye",neutral
"AdityaGeet…
GeetBe practical yaar",neutral
Ismein sharam ki kya baat hai,neutral
Humein kuch hi ghanton ka kaam hai,neutral
"Hum 
per hour pe room lenge",neutral
She turns to the receptionist,female_bias
The receptionist looks at Aditya,neutral
"Aditya turns to the receptionist,  
looking down, indicating agreement",neutral
"ReceptionistKitne ghante ke liye?
Geet turns to consult with Aditya",neutral
"GeetDo? Do ghante kaafi honge?
Aditya shrugs",neutral
GeetAchcha chalo safe side teen ghante,neutral
(looks at watch) Teen ghante to more than enough hain,neutral
Aditya looks at her,female_bias
She shakes her head to confirm,female_bias
Aditya turns and looks at the receptionist,neutral
He can not resist a smile,male_bias
The receptionist smiles back in mischief,neutral
AdityaTeen ghante,neutral
ReceptionistOkay,neutral
"(snip)
Aditya pays cash",neutral
Geet has moved to the side to look at something,neutral
"The receptionist speaks to  
Aditya in a tone of privacy",neutral
"ReceptionistKahan mili?
AdityaTrain mein",neutral
ReceptionistTrain mein bhi? Train mein? Idea hai,neutral
Geet is seen in the background,neutral
She is also turning to look in this direction from time to time,female_bias
"AdityaVaise ye kaisi lagi?
 page : 29 
----------------------------------------------------------------------------------------------------ReceptionistKaddak hai",neutral
Beauty,neutral
AdityaThank you,neutral
"{1 ½ mins}
Sc # 20 Night, Interiors
Hotel Decent – Room, Corridor
Sleazy room",neutral
Geet is sitting against the wall,neutral
She looks at Aditya as he enters from the door,neutral
"The  
smile is still playing on his face",male_bias
His body language is happier now,male_bias
He shuts the door and moves,male_bias
"GeetKya khusar-phusar kar rahe the uske saath?
AdityaTum bahut badi cartoon ho",neutral
"Pata hai tumhein?
GeetHo sakta hai",neutral
Magar mujhe karate aata hai,neutral
"AdityaTo?
GeetBus, bata rahi hoon",neutral
Brown belt hoon main,neutral
"AdityaOh, tumhein karate aata hai, matlab agar main tumhein rape karne ki koshish karoon to tum  
mujhe karate kar dogi",neutral
GeetHo sakta hai,neutral
I mean yes,neutral
Bilkul,neutral
"Dekhne mein aisi lagti hoon magar bade saare logon ko maar  
giraya hai maine",neutral
"Aditya(sighs, shakes his head) Don't worry",male_bias
Main tumhein rape nahin karne waala hoon,neutral
GeetTum kar hi nahin sakte ho,neutral
"page : 30 
----------------------------------------------------------------------------------------------------AdityaMain karna chahta hi nahin hoon",neutral
GeetChaho bhi to nahin kar sakte,neutral
"AdityaTum kya mujhe chaabi laga rahi ho? Ki main rape attempt karoon? 
GeetNahin main bus clear kar rahi hoon",neutral
Tumhein koi wrong signal na mile,neutral
"Station ke baahar maine  
tumhein hug kiya aur kaha kisi hotel mein chalte hain",neutral
"Pata nahin tum kya soch rahe  
hoge… Vo bhi tumhaare jaisa aadmi",neutral
"AdityaMere jaisa aadmi matlab?
GeetBombay mein ghoomti hongi tumhaare aas paas – us type ki girls",neutral
"Magar main bata doon ki  
main bilkul vaisi nahin hoon",neutral
Sochna bhi mat,neutral
"Old fashioned hoon main – one man  
woman",neutral
"Aur ye dekho (takes out photo from pocket) Anshuman – one and only,  
hamesha ke liye",neutral
AdityaTumhein sun ke khushi hogi ki main bhi one woman man hoon,neutral
"Okay? Aur ye (takes out wallet)  
ye dekho",neutral
"He shows the picture in his wallet, then shuts it",male_bias
GeetShow show show,neutral
"She comes up, take his wallet and looks at the picture",neutral
"It is a picture of the girl whose wedding  
reception Aditya had gone to",neutral
GeetWow,neutral
Mast hai yaar,neutral
"Bade lucky ho…
Aditya takes the wallet back, takes the photo out",neutral
AdityaNahin… Lucky nahin hoon,neutral
"GeetHmm…?
He looks at the photograph then flings it to the table",male_bias
Geet(understands) Oh… Ye problem hai,neutral
Is ladki ne tumhein dump kiya hai,neutral
Aditya(to himself) Zindagi ne hi mujhe dump kar diya,neutral
"GeetMatlab? 
Aditya turns away",neutral
GeetO god,neutral
The famous silence and all,neutral
"Itna bada kya secret hai tumhaara? Maine to sab kuch bata  
diya tumhein",neutral
"Tum kyon nahin bol sakte?
He is still silent",male_bias
GeetAnyway,neutral
(gets the photograph to him) Dekho,male_bias
Dekho isko,neutral
"(he looks) Is ladki ne tumhein ditch  
kiya hai na? Pakdo ek minute",male_bias
She goes and gets a match-box from the table,female_bias
"page : 31 
----------------------------------------------------------------------------------------------------GeetYe lo",neutral
Jala do ise,neutral
AdityaOh come on,neutral
GeetNahin nahin,neutral
Jalao photo,neutral
AdityaBachchon jaisi baat mat karo,neutral
"GeetMain bata rahi hoon, bachchon jaisi baat karo, jala do photo",neutral
Tumhein bahut achcha lagega,neutral
Believe me,neutral
Jala do saali ko,neutral
"Ye lo maachis… 
Aditya looks at her, smiles",female_bias
GeetJalao jalao… no tension,neutral
"He takes the match-box, lights a match",male_bias
Then puts it to the photograph,neutral
"He looks at it as it is  
burning",male_bias
GeetOkay,neutral
Ab bathroom mein jao,neutral
Aur hamesha hamesha ke liye apni zindagi se ise flush-out kar do,neutral
Jao,neutral
"In the bathroom, the burning photo drops down",neutral
"Aditya pulls the flush, thinks",neutral
He comes out to the room,male_bias
"GeetBetter lag raha hai? Haan?
Aditya(realizing) You know, actually achcha lag raha hai mujhe",neutral
"Ye bewakoofi ka kaam kar  ke… 
You were right",neutral
"GeetDekha… 
Aditya smiles",neutral
GeetAur main tumhein sach bataoon? Dekhne mein bure nahin ho tum,neutral
Handsome ho yaar,neutral
"Ameer  
bhi lagte ho",neutral
Is se to bahut better ladki mil jayegi tumhein – ye to shit thi tumhaare aage,neutral
AdityaIt's okay,neutral
GeetBata rahi hoon main,neutral
Main ladki hoon ki nahin? Koi bhi ladki tumhaare oopar flat ho sakti hai,neutral
"Tum us type ke ho ki – dekho, main Anshuman se shaadi karne waali hoon and all that  
but agar vo meri life mein nahin hota to you never know shayad main bhi tumse pat  
jaati",neutral
Just imagine,neutral
He is looking at her with a smile,neutral
"GeetKya hua?
AdityaTum apne aap ko bahut pasand ho, nahin?
GeetBahut… Main apni favourite hoon",neutral
"Aditya looks at her, becoming introspective",female_bias
"page : 32 
----------------------------------------------------------------------------------------------------GeetKya hua?
AdityaI wish main tumhaare jaisa hota",neutral
GeetVo to bahut mushkil hai,neutral
Magar is se better ladki mil jayegi iski guarantee hai,neutral
Aditya(smiles) Tum dila dena phir koi achchi waali,neutral
"GeetAchcha ek baat batao, main tumhein kaisi lagti hoon? 
AdityaWhat?
Geet stands up to show herself fully to him",male_bias
"GeetDekho, dekho mujhe",neutral
"You like me?
AdityaKyon pooch rahi ho? 
GeetTell me no",neutral
"Suddenly, there is loud knocking at the door",neutral
"Receptionist (OC)(in panic) Utho utho, darwaza kholo, jaldi  
Geet looks at Aditya",neutral
He gets up,male_bias
Door opens on the receptionist,neutral
Fear running on his face,male_bias
"ReceptionistRaid piti, raid piti",neutral
He runs to the other door,male_bias
He is knocking at two doors at the same time,male_bias
"Receptionist(calling out) Arey uth jao, bhaago, niklo yahan se",neutral
Jaldi darwaza kholo,neutral
Aditya comes out to ask,neutral
"AdityaKaisi raid?
ReceptionistPolice ki raid aur kya… Bhago bhago…
By now, the corridor is in a flurry",neutral
"Some prostitutes and fat men are moving out in various stages  
of undress",male_bias
Geet comes to Aditya,neutral
"GeetKya ho raha hai?
AdityaBhaagna padega",neutral
"GeetKyon?
AdityaPolice",neutral
"GeetTo?
AdityaChalo",neutral
"page : 33 
----------------------------------------------------------------------------------------------------He takes her hand and pulls her to run",neutral
"Receptionist(background) Sab log seedhe se neeche bhaago, main peeche ka gate khol doonga",neutral
"Aur  
shh… silent se",neutral
"Geet(running, to Aditya) Arey, magar… Suno to",neutral
Geet and Aditya run down the corridor with the others,neutral
"{4 ½ mins}
Sc # 21 Night, Exteriors
Hotel Decent – Backdoor, Lane
The back door opens in a dirty lane and the receptionist herds everyone out",neutral
"Aditya and Geet also  
get out from there",neutral
"GeetChakkar kya hai? Hum smugglers ki acting kyon kar rahe hain?
ReceptionistAgli baar kuch suitcase type laana saath mein – thoda samaan, police ko dikhaane ke  
liye, ki haan bhai gentry hai",neutral
"GeetTch, mera saara samaan train mein jo chhoot gaya",neutral
Receptionist(awe) Train waali pehli baar dekhi hai,neutral
"(wondering) Train mein hi coupe kyon nahin  
book kar lete? Hota hai na jismein only do log sote hain? 
AdityaAgli baar bataoonga",neutral
He takes Geet and they follow the others who are stealing into the darkness,male_bias
"GeetBol kya raha hai ye?
AdityaShh…
{1/2 min}
 page : 34 
----------------------------------------------------------------------------------------------------Sc # 23 Night, Int / Exteriors
Ratlam Bus Stand
In corner of the bus stand, near the busses, Geet is sitting and praying to waheguru",neutral
"Geet(praying, muttering) Please babaji, ab to hadd paar ho chuki hai",neutral
"Ab is raat mein aur koi  
excitement mat dena",neutral
Boring bana do ji ab is raat ko please,neutral
"Aditya approaches her, checking the few notes in his wallet, sits against a pillar",neutral
AdityaBus chhhe baje chalegi,neutral
"Neend aa rahi hai?
GeetNahin",neutral
"Tumhein?
AdityaTum kyon pooch rahi thi? Ki main tumhein like karta hoon ya nahin?
Geet(remembers) Arey haan, batao",neutral
Main kaisi lagti hoon,neutral
"AdityaMagar kyon?
GeetOh ho",neutral
"Kyon ka koi javaab nahin hota, tum bus batao",neutral
"Achchi lagti hoon? Phataak? Mast? Jaldi  
bolo… Jaldi, jaldi",neutral
Aditya(casually) Haan,neutral
"Geet(reconfirm) Haan?
AdityaHaan",neutral
Geet(excited) Great,neutral
Tum mujhe like karte ho to meri sister ko bhi like karoge,neutral
"Roop, meri cousin",neutral
Bilkul mere jaisi hai,neutral
"(conspiring) Baat suno – main bahut jaldi bhaagne waali hoon  
Anshuman ke saath",neutral
Tum aur Roop bhi saath mein bhaag lo,neutral
"Tumhaari bhi problem  
same hai, dadaji maanenge nahin",neutral
"Aur uske baad chaaron ikatthe rahenge pahadon  
mein bada mazaa aayega, what do you say? 
Aditya is looking at her quizzically",female_bias
He does not know if she is serious or playing the fool,neutral
"By  
now he actually does not care either",male_bias
"AdityaHum aisa kyon na karein, ki tum aur main bhaag jaate hain",neutral
"Shaadi karte hain, aur rehte hain  
pahaadon par",neutral
"Convenient option hai, dekho",neutral
"Agar hum abhi Bhatinda nahin jaayen, to  
bhaag hi gaye na hum?
Geet is shaking her head",female_bias
"page : 35 
----------------------------------------------------------------------------------------------------GeetDekho",neutral
"Agar tum Roop se shaadi karte ho, to main tumhaari saali banti hoon – aadhi gharwaali",neutral
AdityaAadhi ka kya karoonga? Mujhe poori chahiye,neutral
GeetMil rahi hai na Roop poori ki poori,neutral
Aur oopar se main aadhi,neutral
"AdityaBargain offer hai? 
GeetEk ke saath aadhi muft, muft, muft… 
AdityaTumse shaadi karta hoon tab bhi to offer valid hai",neutral
"GeetMain tumse apni behen ke rishte ki baat kar rahi hoon, tum mujhe line maar rahe ho?
AdityaMain tumhein like karta hoon to us se shaadi kyon karoon?
GeetBata to rahi hoon vo bilkul mere jaisi hai",neutral
AdityaTum hamesha aise bakwaas karti ho ya aaj koi special occasion hai,neutral
GeetNahin main to hamesha bakwaas karti hoon,neutral
"Tum?
AdityaMeri first time hai",neutral
(stretches out on the ground) Aaj tak tere jaisi mili nahin na koi,neutral
"Geet(reclines on the pillar) Bhatinda chal, milvaati hoon",neutral
He smiles,male_bias
"He looks behind himself, sees the world he has reached",male_bias
"The smile remains on his  
face",male_bias
"{2 mins}
[38 ½ mins]
 page : 36 
----------------------------------------------------------------------------------------------------Song # 1
Aditya begins to hum something",neutral
Geet and he are sprawled out in the bus stand in Ratlam,male_bias
"Geet  
looks at him",male_bias
"He looks at her, begins to sing the line",neutral
There is thin music accompaniment,neutral
"He gets up to  
sit and sings",male_bias
Music thickens with the the sun rising in Ratlam,neutral
"The bus is travelling on the state highway and  
Aditya is singing the song",neutral
The song is about travel,neutral
Aditya is going with the flow,neutral
"He does not know where he will end up  
but he wants to keep going",male_bias
This is the song of a man coming out from the shackles of his life and moving into freedom,male_bias
"Geet  
is the catalyst for this change",neutral
"In the song, Aditya is getting infected by her bright spirit",female_bias
He is even copying her subconsciously,neutral
His body language changes in the song,male_bias
"After the bus, Aditya is singing as he walks down a street in Kota with Geet",male_bias
"In the music interlude, we see that Aditya withdraws cash from an ATM",neutral
"Then they take Geet's  
luggage from the station and keep it in the cab he has hired",male_bias
Aditya is wearing new clothes,neutral
The car is on the highway now,neutral
Aditya and Geet are sleeping in the back seat,neutral
Geet is seen drawing water from a hand-pump on the way,neutral
Both splash water on themselves,neutral
The car drives through a procession of camels,neutral
"Somewhere on the road, the car's tyre is punctured, the driver is repairing it",neutral
"Aditya and Geet are  
sitting on a milestone",neutral
"Then Aditya is driving, Geet is sitting next to him and the driver is sleeping in the back seat",male_bias
"At the end of the song, the car is standing at a dhaba somewhere in Punjab",neutral
"Aditya and Geet are  
climbing a guava tree that is slanted on a water stream on the side of the dhaba",neutral
"[4 mins]
 page : 37 
----------------------------------------------------------------------------------------------------Sc # 24 Day, Exteriors
Guava Tree on Stream
Aditya and Geet are sitting on a branch of the tree, eating guavas",neutral
"Water is flowing beneath  
them",neutral
GeetTum to kamaal ho yaar,neutral
Maine apni life mein kisi ko itna achcha gaate huye nahin suna,neutral
Tumhien to singer hona chahiye,neutral
"AdityaSab kuch jo insaan chahta hai, vo milta kahan hai yaar?
GeetKyon? Mujhe to lagta hai ki insaan jo kuch bhi real mein chahta hai na, actual mein, usko life  
mein vohi milta hai",neutral
"AdityaEk time tha jab main real mein chahta tha, actual mein",neutral
"Music se bada passion nahin tha meri  
life mein",neutral
GeetLife khatam ho chuki hai tumhari? Baat aise kar rahe ho jaise mar chuke ho,neutral
Aditya(smiles) Mara to nahin hoon,neutral
Magar ab music – vusic nahin ho sakta meri life mein,neutral
"GeetKyon?  Kyon nahin ho sakta? Aisi kya majboori hai, batao mujhe",neutral
"He looks down, looks away",male_bias
GeetO  god,neutral
"Okay yaar, okay",neutral
Mat batao,neutral
"Magar phir se angry young man mat ban jao, okay?
Aditya(suddenly bright) Okay",male_bias
Pause,neutral
GeetMain hi baat shuroo karti hoon,neutral
AdityaOf course,neutral
GeetHmm… (looks down at the stream) Pani achcha hai na,neutral
AdityaHaan,neutral
"Geet(idea) Kabhi kisi ped se neher mein jump lagayee hai tumne?
Aditya turns sharply to her, tries to read her",female_bias
"Aditya(insecure) Geet, chalo ab neeche utarte hain",neutral
Come on,neutral
GeetTry karna chahiye,neutral
Bahut mazaa aayega,neutral
"Aditya(serious) Geet, Geet",neutral
Main tumse poochna chahta tha,neutral
"Kabhi psychiatrist ko consult kiya hai  
tumne?
GeetOh shut up",neutral
"page : 38 
----------------------------------------------------------------------------------------------------AdityaTumhein zaroorat hai",neutral
GeetBakwaas band karo and jump,neutral
"AdityaGeet… Listen, relax… 
GeetSocho, aisa kaam karne ka mauka shayad phir kabhi na mile",neutral
AdityaArey karna hi nahin hai aisa kaam,neutral
Pagal jaisi baatein mat karo,neutral
GeetTumne bachpana try kiya na? Mazaa aaya na? Ab pagalpan try karo,neutral
She holds his hand,neutral
"AdityaGeet suno, Geet really man, Geet…
Geet takes him by his hand and both jump into the water stream with a loud scream",male_bias
They frolic and play in the stream,neutral
"They get out of the water, wearing all their clothes and shoes, shivering",neutral
"{2 mins}
 page : 39 
----------------------------------------------------------------------------------------------------Sc # 25 Day, Interiors
Dhaba Kitchen
Wet shirts are dumped close to the fire",neutral
"This is the kitchen area of the dhaba which is the make-
shift changing room for Aditya and Geet",neutral
"There is a loose partition and Geet is changing, drying on the  
other side",neutral
"Aditya comes on the front side, looking away",neutral
AdityaIdhar dekhna mat,neutral
GeetHa ha ha,neutral
"He wears another shirt, begins to dry himself",male_bias
"AdityaDharamraj Kashyap ka naam suna hai?
GeetThe industrialist? Of course",neutral
Jo mar gaya last year,neutral
"Kyon?
AdityaMain unka beta hoon",neutral
Silence,neutral
"Then Geet appears in front, in shock",neutral
"Geet(stunned) Tum Aditya… Kashyap ho?
AdityaNow you know me",neutral
"GeetYou are the Kashyap? Vo tumhaari ma thi jo kisi ke saath bhaag gayee thi? 
He flinches",male_bias
I'm sorry,neutral
"AdityaHaan, meri maa thi",neutral
Jo bhaag gayee thi kisi ke saath,neutral
"GeetVo yaar, news-views mein isi tarah ki language mein suna tha na",neutral
Vaise hi nikal gaya,neutral
"I'm really  
sorry yaar",neutral
Really,neutral
AdityaNo Geet,neutral
Mujhe sunna padega,neutral
"Tum kyon sorry bol rahi ho? Kisi ki ma agar itni cheap hai, itni  
giri hui harkat kar sakti hai to… 
GeetMr Kashyap, aapko unke baare mein itni budtameezi se baat nahin karni chahiye",neutral
"Aditya(sudden anger) Kyon nahin karni chahiye, haan? Us aurat ne hamaari family ko destroy kar diya,  
zindagi bhar ke liye mujhe saari duniya ke aage sharminda kar diya, main kyon nahin  
budtameezi se baat karoon?  
GeetKyonki vo… pyaar mein thi yaar",neutral
"Aditya(disbelief, bitter smile) Pyaar? Are you serious?  
 page : 40 
----------------------------------------------------------------------------------------------------GeetDekho, tumhaari mother hain, unke baare mein ye baatein samajhna mushkil hai, magar usne  
aisa kiya to zaroor us aadmi ke pyaar mein hogi",neutral
"Aur jab koi pyaar mein hota hai to koi  
sahi-ghalat nahin hota",neutral
Aditya has been staring at her in disbelief,female_bias
"AdityaKisne bataya tumhein ye sab? Kis ghatiya novel mein tumne ye lines padhi hain?
GeetSab log kehte hain",neutral
All is fair is love,neutral
Aditya(spite) Jhoot kehte hain sab,neutral
It's all bull-shit,neutral
"Samjhi tum?
Geet(promptly, to quell the anger) Samajh gayee",neutral
Silence as Aditya reels in his anger,male_bias
"Then –
GeetSuno",neutral
Tum to bahut hi ameer nikle yaar,neutral
Please meri behen ke saath bhaag jao,neutral
GeetHum sabki life set ho jayegi,neutral
They laugh,neutral
Dissolve,neutral
The sun sets,neutral
"{2 ½ mins}
Sc # 26 Evening, Int / Exteriors
Bhatinda House – Façade, Porch
 page : 41 
---------------------------------------------------------------------------------------------------- 
The cab drives in the gate of the Bhatinda house",neutral
"It is an old-styled bungalow on the outskirts of  
Bhatinda",neutral
The gardener has opened the gate,neutral
He runs after the car as it drives up to the porch,male_bias
"(snip)
Geet opens the door",neutral
A sikh boy of ten comes running out to the portico and sees Geet,neutral
GeetHi Amrik,neutral
Amrik turns and runs inside shouting,neutral
"Amrik(calling out) Aa gayee, aa gayee… Geet aa gayee… Tayee ji",neutral
"The gardener begins to take out the luggage, helped by the driver",neutral
Geet turns to Aditya,neutral
He smiles at her,neutral
"GeetSo? Kya plan hai?
AdityaDekhta hoon",neutral
She looks at him,neutral
GeetTum mere saath andar chalo,neutral
AdityaNahin,neutral
Main chalta hoon,neutral
"GeetKahan jaoge?
AdityaDon't worry Geet",neutral
"Geet(holding his arm) Nahin, tum andar chalo",male_bias
Main tumhein aise nahin jaane de sakti,neutral
Chalo,neutral
Geet's mother and aunt are seen coming out with a brother and Amrik,neutral
"AdityaGeet, really",neutral
Main nahin aa sakta,neutral
"Mera… 
GeetDekho meri family aa gayee hai",neutral
Inke aage scene mat create karna,neutral
Tum kuch der yahan raho,neutral
"Main tumse baat karna chahti hoon, uske baad tum chale jaana",neutral
"She quickly turns and gets off the car, going to the ladies",female_bias
GeetHi mom,neutral
"Hey sexy aunty…
SexyDekho to kaisi pagal hai
Aditya gets off the car, embarrassed",neutral
"There is much hugging and kissing with Geet as more  
people come out to the verandah",neutral
"{1 min}
Sc # 27 Evening, Interiors
Bhatinda House – Dadaji's Room
 page : 42 
----------------------------------------------------------------------------------------------------A very old Sikh man is sitting on a chair",male_bias
"There are various portraits hanging on the wall behind  
him",male_bias
Geet comes up to him,male_bias
"Aditya is brought into the room by Daljit Singh, Geet's chacha",neutral
"Her father  
Kulmeet Singh enters too",female_bias
It is a strict atmosphere,neutral
Geet(nervous) Paeri-paena dadaji,neutral
Old Sikh is looking at Aditya,neutral
"DadajiMunda kaun hai?
GeetJi mera friend hai dadaji",neutral
"DadajiKis tarah ka friend hai?
GeetDadaji, vaisi koi baat nahin hai",neutral
"Dadaji(scolding) Kaisi baat nahin hai? 
GeetMatlab… bus friend hai",neutral
"DadajiTo ghar kyon le aayi hai?
GeetVo to aisa hai dadaji ki main ise ghar nahin layee hoon",neutral
Ghar ye laaya hai mujhe,neutral
"Meri na train  
chhoot gayee thi ek station par, raat ko",neutral
"Agar ye nahin hota na… Aap to jaante ho, akeli  
ladki khuli hui tijori hoti hai",neutral
"Main ise jaanti bhi nahin thi, train mein hi mile the hum  
log, phir bhi ye mere saath hazaar kilometre tak aaya hai Bhatinda – mujhe safely ghar  
pahunchaane ko",neutral
"Geet's father and uncle and other middle-aged Sikhs crowd around Aditya, pat his back",male_bias
"Old  
Sikh 
looks at Aditya, back at Geet",neutral
"DadajiAur to koi dosti nahin hai? Kyonki meri umar mein ek jhalak mein dikh jaata hai ki ladke-ladki  
ke beech kya chal raha hai",neutral
GeetDadaji please,neutral
Aap mujhe sharminda kar rahe ho,neutral
"DadajiSharminda? Agar sharam hoti tere andar to tu is tarah ke kapde pehenti? Ye kapde pehen kar  
ghar aayi hai to Bambai mein to nangi phirti hogi",neutral
Geet is terribly embarrassed,neutral
Old Sikh looks at Aditya,neutral
"DadajiNaam kya hai?
AdityaJi Aditya",neutral
Kulmeet Singh prompts Aditya to go forward to dadaji,neutral
Aditya comes closer,neutral
"DadajiAditya kya?
AdityaAditya Kumar",neutral
Aditya bends to touch his feet,male_bias
"page : 43 
----------------------------------------------------------------------------------------------------AdityaPaeri paena",neutral
Old Sikh catches his shoulder and looks at him,male_bias
Aditya is caught in mid position,neutral
"DadajiHmmm… Kaam kya karte ho? 
AdityaJi main… music ka kaam karta hoon",neutral
Geet smiles,neutral
DadajiHum tere karazdaar hain puttar,neutral
Toone hamaari ladki ko hifazat se ghar pahuchaya,neutral
Aditya smiles in the uncomfortable position,neutral
DadajiAb tujhe ek hafta hamaare saath rehna hai yahan,neutral
Taaki hum tera shukriya ada kar sakein,neutral
Tujhpar ooparwaale ki meher,neutral
Then he pulls Aditya to an embrace,male_bias
"{2 mins}
Sc # 28 Night, Interiors
Bhatinda House – Dining Room
The dining table is a site of forceful hospitality that night",neutral
"Aditya is surrounded by Geet's mother  
and aunt and two younger brothers – Satpal and Vikram and two small sisters and Amrik and a very old  
dadi",neutral
They form a semi-circle around him,male_bias
Aditya is guarding his plate with his hands,male_bias
"The dadi wants to  
give him another paratha",male_bias
Aditya(exhausted) Bas bas… Ab iske baad mera pet phat jayega,neutral
"page : 44 
----------------------------------------------------------------------------------------------------AmrikKya nonsense hai",neutral
"Kabhi suna hai kisi ka pet phata ho?
VikramInfinite elastic ke hote hain pet",neutral
Geet comes from inside with her father and sees this,female_bias
Aditya looks at Geet,neutral
"Aditya(to Geet) Bachao
GeetArey, lassi nahin pilayee? Kamaal hai",neutral
Aditya points a finger at Geet,neutral
"KulmeetHaan, ye baat to sahi hai",neutral
Koi Punjab aaya hai aur lassi nahin mili,neutral
Young GirlMain laati hoon,neutral
Young girl flies off,neutral
Aditya gives tough looks to Geet,neutral
Geet giggles,neutral
"Her mother has come up to  
her and she takes her away",female_bias
Satpal puts more food on the plate,neutral
"AdityaArey kya…? Kya kar rahe ho bhai?
SatpalAapne hamaari behen ko bachaya hai",neutral
"Hum itna nahin kar sakte aapke liye?
AdityaYaar ghalati ho gayee maine teri behen ko bachaya, maaf kar de, aage se kisi ki behen ke saath  
aisa nahin karoonga",neutral
Everyone laughs,neutral
"{1/2 min}
Sc # 29 Night, Int / Exteriors
Bhatinda House - Courtyard
Young Amrik is leading Aditya to the guest room which is upstairs",neutral
"Daljit Singh is leaving in the  
other direction",neutral
DaljitAap chalo main aapke liye kuch raat ke kapde laata hoon,neutral
AmrikAa jao ji,neutral
"Aditya walks up, holding the wall – he has eaten so much",male_bias
